应用名称：发歌TV

综合频道,#genre#
CHC家庭影院,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
重庆卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
安徽卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
山西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
东南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
湖北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
河北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
东方卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
哈哈炫动,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
辽宁卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
吉林卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
广西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
北京卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
云南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
陕西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
西藏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
兵团卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
农林卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
京视剧场,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226242/index.m3u8
奕坦春秋,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226245/index.m3u8
发现之旅,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
老故事,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
北京卡酷,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
嘉佳卡通,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
SiTV游戏风云,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8
西安商务资讯,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
免费套餐,#genre#
CCTV1-综合,http://175.0.61.203:9901/tsfile/live/0001_1.m3u8
仅供,#genre#
CCTV1-综合,http://175.0.61.203:9901/tsfile/live/0001_1.m3u8?key=txip
↓反馈QQ群↓,#genre#
CCTV1,http://42.49.34.55:9901/tsfile/live/0001_1.m3u8?key=txi
675334050,#genre#
CCTV1,http://42.49.34.55:9901/tsfile/live/0001_1.m3u8?key=tx
【发歌影视】_1234,#genre#
CCTV1-综合,http://123.101.98.20:9898/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://123.101.98.20:9898/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://123.101.98.20:9898/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://123.101.98.20:9898/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5-体育,http://123.101.98.20:9898/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6-电影,http://123.101.98.20:9898/tsfile/live/faacts/0006_1.m3u8?key=txiptv
CCTV7-军农,http://123.101.98.20:9898/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8-电视剧,http://123.101.98.20:9898/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9-纪录,http://123.101.98.20:9898/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10-科教,http://123.101.98.20:9898/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11-戏曲,http://123.101.98.20:9898/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12-社会与法,http://123.101.98.20:9898/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13-新闻,http://123.101.98.20:9898/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14-少儿,http://123.101.98.20:9898/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15-音乐,http://123.101.98.20:9898/tsfile/live/0015_1.m3u8?key=txiptv
CCTV17,http://123.101.98.20:9898/tsfile/live/0019_1.m3u8?key=txiptv
河南卫视,http://123.101.98.20:9898/tsfile/live/0139_1.m3u8?key=txiptv
都市频道,http://123.101.98.20:9898/tsfile/live/0139_2.m3u8?key=txiptv
民生频道,http://123.101.98.20:9898/tsfile/live/0139_3.m3u8?key=txiptv
法治频道,http://123.101.98.20:9898/tsfile/live/0139_4.m3u8?key=txiptv
电视剧频道,http://123.101.98.20:9898/tsfile/live/0139_5.m3u8?key=txiptv
公共频道,http://123.101.98.20:9898/tsfile/live/0139_6.m3u8?key=txiptv
乡村频道,http://123.101.98.20:9898/tsfile/live/0139_7.m3u8?key=txiptv
浙江卫视,http://123.101.98.20:9898/tsfile/live/0124_1.m3u8?key=txiptv
东方卫视,http://123.101.98.20:9898/tsfile/live/0150_1.m3u8?key=txiptv
江苏卫视,http://123.101.98.20:9898/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://123.101.98.20:9898/tsfile/live/0122_1.m3u8?key=txiptv
广东卫视,http://123.101.98.20:9898/tsfile/live/0125_1.m3u8?key=txiptv
黑龙江卫视,http://123.101.98.20:9898/tsfile/live/0143_1.m3u8?key=txiptv
山东卫视,http://123.101.98.20:9898/tsfile/live/0131_1.m3u8?key=txiptv
安徽卫视,http://123.101.98.20:9898/tsfile/live/0130_1.m3u8?key=txiptv
辽宁卫视,http://123.101.98.20:9898/tsfile/live/0121_1.m3u8?key=txiptv
陕西卫视,http://123.101.98.20:9898/tsfile/live/0136_1.m3u8?key=txiptv
贵州卫视,http://123.101.98.20:9898/tsfile/live/0120_1.m3u8?key=txiptv
河北卫视,http://123.101.98.20:9898/tsfile/live/0117_1.m3u8?key=txiptv
江西卫视,http://123.101.98.20:9898/tsfile/live/0138_1.m3u8?key=txiptv
湖南卫视,http://123.101.98.20:9898/tsfile/live/0128_1.m3u8?key=txiptv
深圳卫视,http://123.101.98.20:9898/tsfile/live/0126_1.m3u8?key=txiptv
四川卫视,http://123.101.98.20:9898/tsfile/live/0123_1.m3u8?key=txiptv
湖北卫视,http://123.101.98.20:9898/tsfile/live/0132_1.m3u8?key=txiptv
天津卫视,http://123.101.98.20:9898/tsfile/live/0135_1.m3u8?key=txiptv
云南卫视,http://123.101.98.20:9898/tsfile/live/0119_1.m3u8?key=txiptv
重庆卫视,http://123.101.98.20:9898/tsfile/live/0142_1.m3u8?key=txiptv
吉林卫视,http://123.101.98.20:9898/tsfile/live/0116_1.m3u8?key=txiptv
宁夏卫视,http://123.101.98.20:9898/tsfile/live/0112_1.m3u8?key=txiptv
东南卫视,http://123.101.98.20:9898/tsfile/live/0137_1.m3u8?key=txiptv
内蒙古卫视,http://123.101.98.20:9898/tsfile/live/0109_1.m3u8?key=txiptv
广西卫视,http://123.101.98.20:9898/tsfile/live/0113_1.m3u8?key=txiptv
山西卫视,http://123.101.98.20:9898/tsfile/live/0118_1.m3u8?key=txiptv
